OBS AUSTRUS BRITPUS CDNDLUS DTCHGUS FRNFRUS GERMDUS JAPYNUS SWISFUS
12/31/1979  0.90440445  0.450755015 1.1684  1.902 4.0175  1.726 240.3 1.595
1/02/1980 0.902527076 0.445891113 1.1658  1.8922  4.015 1.7135  238.45  1.5775
1/03/1980 0.901388138 0.446428571 1.1703  1.89  4.01  1.7108  238.35  1.572
1/04/1980 0.901713255 0.447027269 1.1687  1.891 4.025 1.7126  234.8 1.5755
1/07/1980 0.898311175 0.442184391 1.1694  1.889 4.009 1.708 231.55  1.57
1/08/1980 0.898876404 0.442086649 1.1698  1.8915  4.0125  1.7129  234.75  1.577
1/09/1980 0.898472597 0.441306267 1.1686  1.8915  4.0125  1.7122  234.95  1.574
1/10/1980 0.899280576 0.442869796 1.165 1.895 4.023 1.7168  235.8 1.579
1/11/1980 0.900090009 0.443066017 1.165 1.899 4.032 1.7214  236.05  1.583
1/14/1980 0.900252071 0.439463854 1.1663  1.8975  4.0315  1.7191  236.2 1.583
1/15/1980 0.902119982 0.43927081  1.1658  1.9065  4.0485  1.728 239.65  1.595
1/16/1980 0.900495272 0.440334654 1.1644  1.8985  4.032 1.7215  238.15  1.585
1/17/1980 0.900900901 0.439174352 1.1613  1.902 4.0385  1.7236  239.9 1.593
1/18/1980 0.900738606 0.437541019 1.1617  1.9005  4.036 1.7235  239.65  1.593
1/21/1980 0.901306895 0.437924239 1.1611  1.908 4.053 1.7294  241 1.6045
1/22/1980 0.901875902 0.43956044  1.159 1.912 4.059 1.7338  239.7 1.609
1/23/1980 0.89968511  0.439077936 1.1603  1.9097  4.05  1.7297  237.25  1.606
1/24/1980 0.901388138 0.439020107 1.1569  1.9122  4.0575  1.7318  239.35  1.6085
1/25/1980 0.902282775 0.442282176 1.1609  1.9175  4.0635  1.7365  239.6 1.616
1/28/1980 0.902853016 0.444938821 1.1637  1.9185  4.067 1.7388  240.22  1.6188
1/29/1980 0.904322662 0.444543232 1.1638  1.9182  4.0655  1.7368  239.35  1.617
1/30/1980 0.903179191 0.442086649 1.1617  1.917 4.0655  1.7373  239.5 1.6215
1/31/1980 0.903587241 0.441169983 1.1585  1.927 4.084 1.7438  239.33  1.638
2/01/1980 0.904731747 0.439753738 1.156 1.9263  4.0835  1.744 240.45  1.6335
2/04/1980 0.903995661 0.437349661 1.1588  1.926 4.083 1.7418  240.29  1.631
2/05/1980 0.903016074 0.436585898 1.1618  1.924 4.0825  1.7425  240.1 1.626
2/06/1980 0.902364194 0.432525952 1.1597  1.914 4.059 1.733 240.1 1.606
2/07/1980 0.901631954 0.43449924  1.1587  1.9185  4.07  1.7385  240.09  1.616
2/08/1980 0.903097625 0.43516101  1.159 1.919 4.075 1.7393  241.65  1.619
2/11/1980 0.903505602 0.433895952 1.1589  1.918 4.0725  1.739 241.4 1.617
2/13/1980 0.903750565 0.433275563 1.1615  1.911 4.0645  1.735 242.1 1.6133
2/14/1980 0.903750565 0.432320263 1.1598  1.9125  4.0675  1.7361  243.39  1.617
2/15/1980 0.899280576 0.435729847 1.1621  1.9185  4.077 1.7415  243.2 1.629
2/19/1980 0.906371794 0.440140845 1.1597  1.9252  4.0975  1.748 245.36  1.6385
2/20/1980 0.906782735 0.438711942 1.1552  1.926 4.0947  1.748 246.05  1.644
2/21/1980 0.907029478 0.437349661 1.1512  1.9247  4.096 1.747 246.09  1.6403
2/22/1980 0.908265213 0.439657067 1.1529  1.938 4.127 1.759 247.45  1.662
2/25/1980 0.909090909 0.439367311 1.1512  1.9408  4.1325  1.7616  248.35  1.6695
2/26/1980 0.910332271 0.439232222 1.1504  1.9448  4.133 1.7635  248.08  1.6705
2/27/1980 0.909918107 0.437254045 1.1459  1.939 4.125 1.758 248.45  1.665
2/28/1980 0.909918107 0.43767507  1.1464  1.94  4.1303  1.7638  248.4 1.672
2/29/1980 0.911577028 0.439947206 1.145 1.9535  4.1595  1.777 251.65  1.7025
3/03/1980 0.912159081 0.44603033  1.143 1.9605  4.1815  1.7829  247.85  1.715
3/04/1980 0.911161731 0.447427293 1.1529  1.968 4.1925  1.7907  246.4 1.721
3/05/1980 0.911577028 0.446428571 1.1473  1.9632  4.19  1.7885  246.88  1.7105
3/06/1980 0.913242009 0.447727782 1.1533  1.971 4.202 1.795 248.1 1.715
3/07/1980 0.913242009 0.449034576 1.1576  1.972 4.202 1.796 247.85  1.715
3/10/1980 0.914076782 0.451100686 1.1637  1.983 4.2295  1.8095  247.93  1.735
3/11/1980 0.912492016 0.449135414 1.165 1.988 4.2425  1.812 247.3 1.7345
3/12/1980 0.912242292 0.447727782 1.1673  1.9874  4.228 1.8076  247.5 1.7295
